PlotTag,Species4,SppCommon,DBHClass,DBHmid,StemCount,TotalSaplings,TotalSeedlings,SapAreaha,Species2,Year,TreeStatus,PlotGrid,UTM.Easting,UTM.Northing,"Transect No.",PlotRadiusm,PlotAreaha,Elevationm,Aspectdeg,Slopeper,FirstMeasured,SecondMeasured,ThirdMeasured,Time9505yr,Time0515yr,ElevB,foresttype
p010,FAGR,beech,0to2cm,1,3,4,4,0.0024,AB,1995,1,Core,280000,4869700,800,12.62,0.05,595,198,9.80508572823969,1995,2005,2015,10,10,L,NH.high
p010,PIRU,"red spruce",0to2cm,1,0,1,0,0.0024,RS,1995,1,Core,280000,4869700,800,12.62,0.05,595,198,9.80508572823969,1995,2005,2015,10,10,L,NH.high
p010,ACPE,"striped maple",0to2cm,1,2,2,12,0.0024,STM,1995,1,Core,280000,4869700,800,12.62,0.05,595,198,9.80508572823969,1995,2005,2015,10,10,L,NH.high
p011,FAGR,beech,0to2cm,1,9,13,8,0.0024,AB,1995,1,Core,280000,4869900,800,12.62,0.05,630,187,7.59705107501998,1995,2005,2015,10,10,M,NH.wood
p011,ACSA,"sugar maple",0to2cm,1,0,1,0,0.0024,SM,1995,1,Core,280000,4869900,800,12.62,0.05,630,187,7.59705107501998,1995,2005,2015,10,10,M,NH.wood
p011,ACPE,"striped maple",0to2cm,1,1,2,3,0.0024,STM,1995,1,Core,280000,4869900,800,12.62,0.05,630,187,7.59705107501998,1995,2005,2015,10,10,M,NH.wood
p012,FAGR,beech,0to2cm,1,2,3,0,0.0024,AB,1995,1,Core,280000,4870000,800,12.62,0.05,640,186,9.51148384142527,1995,2005,2015,10,10,M,NH.wood
p012,ACSA,"sugar maple",0to2cm,1,0,0,4,0.0024,SM,1995,1,Core,280000,4870000,800,12.62,0.05,640,186,9.51148384142527,1995,2005,2015,10,10,M,NH.wood
p012,ACPE,"striped maple",0to2cm,1,8,8,3,0.0024,STM,1995,1,Core,280000,4870000,800,12.62,0.05,640,186,9.51148384142527,1995,2005,2015,10,10,M,NH.wood
p013,FAGR,beech,0to2cm,1,18,21,10,0.0024,AB,1995,1,Core,280000,4870200,800,12.62,0.05,690,120,27.1069363618817,1995,2005,2015,10,10,M,NH.wood
p014,FAGR,beech,0to2cm,1,8,11,4,0.0024,AB,1995,1,Core,280000,4870300,800,12.62,0.05,720,145,19.6393597528532,1995,2005,2015,10,10,H,NH.wood
p015,FAGR,beech,0to2cm,1,5,5,0,0.0024,AB,1995,1,Core,280000,4870500,800,12.62,0.05,750,198,11.7473001395629,1995,2005,2015,10,10,H,SF.firbirch
p015,PIRU,"red spruce",0to2cm,1,0,0,1,0.0024,RS,1995,1,Core,280000,4870500,800,12.62,0.05,750,198,11.7473001395629,1995,2005,2015,10,10,H,SF.firbirch
p015,ACSA,"sugar maple",0to2cm,1,0,0,2,0.0024,SM,1995,1,Core,280000,4870500,800,12.62,0.05,750,198,11.7473001395629,1995,2005,2015,10,10,H,SF.firbirch
p016,FAGR,beech,0to2cm,1,3,6,2,0.0024,AB,1995,1,Core,279500,4870500,795,12.62,0.05,765,155,14.2024307747344,1995,2005,2015,10,10,H,NH.wood
