PlotTag,Species4,SppCommon,DBH,CrownStatus,TreeStatus,Year,PlotGrid,UTM.Easting,UTM.Northing,Transect No.,PlotRadiusm,PlotAreaha,SapAreaha,Elevationm,Aspectdeg,Slopeper,FirstMeasured,SecondMeasured,ThirdMeasured,Time9505yr,Time0515yr,ElevB,foresttype
p010,FAGR,beech,7.9,NA,1,2005,Core,280000,4869700,800,12.62,0.05,0.005048,595,198,9.805085728,1995,2005,2015,10,10,L,NH.high
p010,FAGR,beech,3.6,NA,1,2005,Core,280000,4869700,800,12.62,0.05,0.005048,595,198,9.805085728,1995,2005,2015,10,10,L,NH.high
p010,FAGR,beech,2.6,NA,1,2005,Core,280000,4869700,800,12.62,0.05,0.005048,595,198,9.805085728,1995,2005,2015,10,10,L,NH.high
p010,FAGR,beech,4.1,NA,1,2005,Core,280000,4869700,800,12.62,0.05,0.005048,595,198,9.805085728,1995,2005,2015,10,10,L,NH.high
p010,FAGR,beech,2.2,NA,1,2005,Core,280000,4869700,800,12.62,0.05,0.005048,595,198,9.805085728,1995,2005,2015,10,10,L,NH.high
p011,ACPE,striped maple,4.2,NA,1,2005,Core,280000,4869900,800,12.62,0.05,0.005048,630,187,7.597051075,1995,2005,2015,10,10,M,NH.wood
p011,FAGR,beech,5,NA,1,2005,Core,280000,4869900,800,12.62,0.05,0.005048,630,187,7.597051075,1995,2005,2015,10,10,M,NH.wood
p011,ACPE,striped maple,3.5,NA,1,2005,Core,280000,4869900,800,12.62,0.05,0.005048,630,187,7.597051075,1995,2005,2015,10,10,M,NH.wood
p011,FAGR,beech,2.6,NA,4,2005,Core,280000,4869900,800,12.62,0.05,0.005048,630,187,7.597051075,1995,2005,2015,10,10,M,NH.wood
p011,FAGR,beech,2.2,NA,1,2005,Core,280000,4869900,800,12.62,0.05,0.005048,630,187,7.597051075,1995,2005,2015,10,10,M,NH.wood
p011,FAGR,beech,3.3,NA,1,2005,Core,280000,4869900,800,12.62,0.05,0.005048,630,187,7.597051075,1995,2005,2015,10,10,M,NH.wood
p011,FAGR,beech,2.7,NA,1,2005,Core,280000,4869900,800,12.62,0.05,0.005048,630,187,7.597051075,1995,2005,2015,10,10,M,NH.wood
p011,FAGR,beech,2.6,NA,1,2005,Core,280000,4869900,800,12.62,0.05,0.005048,630,187,7.597051075,1995,2005,2015,10,10,M,NH.wood
p011,FAGR,beech,5.8,NA,1,2005,Core,280000,4869900,800,12.62,0.05,0.005048,630,187,7.597051075,1995,2005,2015,10,10,M,NH.wood
p011,FAGR,beech,3.9,NA,1,2005,Core,280000,4869900,800,12.62,0.05,0.005048,630,187,7.597051075,1995,2005,2015,10,10,M,NH.wood
p011,ACSA,sugar maple,2.2,NA,1,2005,Core,280000,4869900,800,12.62,0.05,0.005048,630,187,7.597051075,1995,2005,2015,10,10,M,NH.wood
p011,FAGR,beech,5.1,NA,1,2005,Core,280000,4869900,800,12.62,0.05,0.005048,630,187,7.597051075,1995,2005,2015,10,10,M,NH.wood
p011,FAGR,beech,2.9,NA,1,2005,Core,280000,4869900,800,12.62,0.05,0.005048,630,187,7.597051075,1995,2005,2015,10,10,M,NH.wood
p011,FAGR,beech,2.1,NA,1,2005,Core,280000,4869900,800,12.62,0.05,0.005048,630,187,7.597051075,1995,2005,2015,10,10,M,NH.wood
p011,FAGR,beech,2.1,NA,4,2005,Core,280000,4869900,800,12.62,0.05,0.005048,630,187,7.597051075,1995,2005,2015,10,10,M,NH.wood
p011,FAGR,beech,4.9,NA,1,2005,Core,280000,4869900,800,12.62,0.05,0.005048,630,187,7.597051075,1995,2005,2015,10,10,M,NH.wood
p011,FAGR,beech,6.8,NA,1,2005,Core,280000,4869900,800,12.62,0.05,0.005048,630,187,7.597051075,1995,2005,2015,10,10,M,NH.wood
p012,FAGR,beech,5.4,NA,1,2005,Core,280000,4870000,800,12.62,0.05,0.005048,640,186,9.511483841,1995,2005,2015,10,10,M,NH.wood
p012,FAGR,beech,5.5,NA,1,2005,Core,280000,4870000,800,12.62,0.05,0.005048,640,186,9.511483841,1995,2005,2015,10,10,M,NH.wood
p012,ACSA,sugar maple,8.7,NA,1,2005,Core,280000,4870000,800,12.62,0.05,0.005048,640,186,9.511483841,1995,2005,2015,10,10,M,NH.wood
p012,ACPE,striped maple,2,NA,1,2005,Core,280000,4870000,800,12.62,0.05,0.005048,640,186,9.511483841,1995,2005,2015,10,10,M,NH.wood
