PlotTag,PlotGrid,UTM.Easting,UTM.Northing,"Transect No.",PlotRadiusm,PlotAreaha,Elevationm,Aspectdeg,Slopeper,FirstMeasured,SecondMeasured,ThirdMeasured,Time9505yr,Time0515yr,ElevB,foresttype
p057,Core,279000,4868500,790,12.62,0.05,475,158,25.7066448209199,1995,2005,2015,10,10,L,NH.hemlock
p058,Core,279000,4868700,790,12.62,0.05,500,240,13.7575701006119,1995,2005,2015,10,10,L,NH.high
p059,Core,279000,4868800,790,12.62,0.05,555,230,29.3052095582534,1995,2005,2015,10,10,L,NH.high
p060,Core,279000,4869000,790,12.62,0.05,620,125,9.28649932581595,1995,2005,2015,10,10,L,NH.wood
p061,Core,279000,4869100,790,12.62,0.05,630,150,2.61859215691869,1995,2005,2015,10,10,M,NH.high
p062,Core,279000,4869300,790,12.62,0.05,620,350,6.60303747399489,1995,2005,2015,10,10,L,NH.high
p063,Core,279000,4869400,790,12.62,0.05,630,25,5.33801195150336,1995,2005,2015,10,10,M,NH.wood
p064,Core,279000,4869600,790,12.62,0.05,630,0,8.7488663525924,1995,2005,2015,10,10,M,NH.high
p065,Core,279000,4869700,790,12.62,0.05,650,205,6.55434628152382,1995,2005,2015,10,10,M,NH.wood
p066,Core,279000,4869900,790,12.62,0.05,675,235,12.5738360764288,1995,2005,2015,10,10,M,NH.wood
p067,Core,279000,4870000,790,12.62,0.05,680,180,14.0540834702391,1995,2005,2015,10,10,M,NH.wood
p068,Core,279000,4870200,790,12.62,0.05,720,194,7.90919720344554,1995,2005,2015,10,10,H,NH.wood
p069,Core,279000,4870300,790,12.62,0.05,750,196,12.1210066744622,1995,2005,2015,10,10,H,NH.wood
p070,Core,279000,4870500,790,12.62,0.05,760,200,9.33540099822857,1995,2005,2015,10,10,H,NH.wood
p071,Core,279000,4870600,790,12.62,0.05,770,204,20.0424793647159,1995,2005,2015,10,10,H,NH.wood
p072,Core,279500,4870600,795,12.62,0.05,760,147,13.8761466839291,1995,2005,2015,10,10,H,NH.wood
p073,Core,279500,4870800,795,12.62,0.05,780,135,10.0694705183436,1995,2005,2015,10,10,H,NH.high
p074,Core,279000,4870800,790,12.62,0.05,825,180,30.573068145866,1995,2005,2015,10,10,H,NH.wood
p075,Core,279500,4870900,795,12.62,0.05,805,56,8.9052155630587,1995,2005,2015,10,10,H,SF.firbirch
p076,Core,278500,4870900,785,12.62,0.05,800,246,14.17275643116,1995,2005,2015,10,10,H,SF.firbirch
p077,Core,278500,4870800,785,12.62,0.05,790,250,6.50565818341311,1995,2005,2015,10,10,H,SF.firbirch
p078,Core,278500,4870600,785,12.62,0.05,760,171,12.4556584366183,1995,2005,2015,10,10,H,NH.wood
p079,Core,278500,4870500,785,12.62,0.05,740,160,12.0816536020798,1995,2005,2015,10,10,H,NH.wood
p080,Core,278500,4870300,785,12.62,0.05,700,206,7.34354095926239,1995,2005,2015,10,10,M,NH.wood
p081,Core,278500,4870200,785,12.62,0.05,680,166,19.4179064025983,1995,2005,2015,10,10,M,NH.wood
p082,Core,278500,4870000,785,12.62,0.05,640,0,6.11626201504843,1995,2005,2015,10,10,M,NH.hemlock
p083,Core,278500,4869900,785,12.62,0.05,640,138,15.3021502981226,1995,2005,2015,10,10,M,NH.wood
p084,Core,278500,4869700,785,12.62,0.05,630,102,3.55032672620211,1995,2005,2015,10,10,M,NH.high
p085,Core,278500,4869600,785,12.62,0.05,600,132,16.0770806776134,1995,2005,2015,10,10,L,NH.high
p086,Core,278500,4869400,785,12.62,0.05,585,218,14.0936367952869,1995,2005,2015,10,10,L,NH.hemlock
p087,Core,278500,4869300,785,12.62,0.05,590,95,17.7827027830774,1995,2005,2015,10,10,L,SF.spruce
p088,Core,278500,4869100,785,12.62,0.05,570,186,15.3021502981226,1995,2005,2015,10,10,L,NH.high
p089,Core,278500,4869000,785,12.62,0.05,560,177,18.8951961585141,1995,2005,2015,10,10,L,NH.wood
p090,Core,278500,4868800,785,12.62,0.05,520,108,18.8951961585141,1995,2005,2015,10,10,L,NH.high
p091,Core,278500,4868700,785,12.62,0.05,520,218,15.4609612068926,1995,2005,2015,10,10,L,SF.spruce
p092,Core,278500,4868500,785,12.62,0.05,485,0,3.49207694917477,1995,2005,2015,10,10,L,NH.hemlock
p093,Core,278500,4868400,785,12.62,0.05,500,54,17.2729992755263,1995,2005,2015,10,10,L,NH.wood
p094,Core,279000,4868200,790,12.62,0.05,490,38,8.573024177855,1995,2005,2015,10,10,L,NH.wood
p095,Core,279000,4868100,790,12.62,0.05,530,46,28.5486581640477,1995,2005,2015,10,10,L,NH.wood
p096,Core,279000,4867900,790,12.62,0.05,580,42,14.2914685386788,1995,2005,2015,10,10,L,NH.high
p097,Core,279000,4867800,790,12.62,0.05,630,30,26.1723366565788,1995,2005,2015,10,10,M,NH.high
p098,Core,279000,4867600,790,12.62,0.05,680,355,17.4328113212426,1995,2005,2015,10,10,M,NH.high
p099,Core,279000,4867500,790,12.62,0.05,682,340,28.6745385758807,1995,2005,2015,10,10,M,NH.high
p100,Core,279000,4867300,790,12.62,0.05,750,2,46.2653325005783,1995,2005,2015,10,10,H,SF.firbirch
p101,Core,279000,4867200,790,12.62,0.05,787,280,7.6750735753301,1995,2005,2015,10,10,H,SF.spruce
p102,Core,279000,4867000,790,12.62,0.05,790,344,11.1775258389733,1995,2005,2015,10,10,H,SF.firbirch
p103,Core,279000,4866900,790,12.62,0.05,810,335,20.1433567394026,1995,2005,2015,10,10,H,SF.firbirch
p104,Core,279000,4866700,790,12.62,0.05,845,60,18.8349480256734,1995,2005,2015,10,10,H,SF.spruce
p105,Core,279000,4866600,790,12.62,0.05,818,150,33.7833023038321,1995,2005,2015,10,10,H,SF.spruce
p106,Core,279000,4866400,790,12.62,0.05,830,3,20.2846513264067,1995,2005,2015,10,10,H,SF.firbirch
p107,Core,279000,4866300,790,12.62,0.05,855,344,22.0270893883961,1995,2005,2015,10,10,H,SF.firbirch
p108,Core,278500,4866600,785,10,0.0314,890,280,11.6883236758152,1995,2005,2015,10,10,H,SF.firbirch
p109,Core,278500,4866700,785,10,0.0314,880,325,14.6478431527409,1995,2005,2015,10,10,H,SF.firbirch
p110,Core,278500,4866900,785,12.62,0.05,810,25,26.6390933399297,1995,2005,2015,10,10,H,SF.firbirch
p111,Core,278500,4867000,785,12.62,0.05,850,336,26.1723366565788,1995,2005,2015,10,10,H,SF.firbirch
p112,Core,278500,4867200,785,12.62,0.05,790,355,30.0965839132728,1995,2005,2015,10,10,H,NH.high
p113,Core,278500,4867300,785,12.62,0.05,750,25,22.1186075708643,1995,2005,2015,10,10,H,NH.high
p114,Core,278500,4867500,785,12.62,0.05,700,12,26.3589103487567,1995,2005,2015,10,10,M,NH.high
p115,Core,278500,4867600,785,12.62,0.05,680,0,30.573068145866,1995,2005,2015,10,10,M,NH.wood
p116,Core,278500,4867800,785,12.62,0.05,595,0,17.6326980708464,1995,2005,2015,10,10,L,NH.wood
p117,Core,278500,4867900,785,12.62,0.05,580,0,19.4380309137718,1995,2005,2015,10,10,L,NH.hemlock
p118,Core,278500,4868100,785,12.62,0.05,540,40,13.8563812697661,1995,2005,2015,10,10,L,NH.wood
p119,Core,278500,4868200,785,12.62,0.05,520,46,20.1635369371541,1995,2005,2015,10,10,L,NH.wood
p120,Core,278000,4868400,780,12.62,0.05,520,4,36.3092019559508,1995,2005,2015,10,10,L,NH.high
p121,Core,278000,4868500,780,12.62,0.05,510,4,5.88271372882315,1995,2005,2015,10,10,L,NH.wood
p122,Core,278000,4868700,780,12.62,0.05,530,225,16.7342609081419,1995,2005,2015,10,10,L,NH.high
p123,Core,278000,4868800,780,12.62,0.05,570,193,23.4957107418629,1995,2005,2015,10,10,L,NH.high
